Game Title,Tags
Dota 2,Free to Play
Dota 2,MOBA
Dota 2,Multiplayer
Dota 2,Strategy
Dota 2,eSports
Dota 2,Team-Based
Dota 2,Competitive
Dota 2,Action
Dota 2,Online Co-Op
Dota 2,PvP
Dota 2,Difficult
Dota 2,Co-op
Dota 2,RTS
Dota 2,Tower Defense
Dota 2,RPG
Dota 2,Fantasy
Dota 2,Character Customization
Dota 2,Replay Value
Dota 2,Action RPG
Dota 2,Simulation
Counter-Strike: Global Offensive,FPS
Counter-Strike: Global Offensive,Shooter
Counter-Strike: Global Offensive,Multiplayer
Counter-Strike: Global Offensive,Competitive
Counter-Strike: Global Offensive,Action
Counter-Strike: Global Offensive,Team-Based
Counter-Strike: Global Offensive,eSports
Counter-Strike: Global Offensive,Tactical
Counter-Strike: Global Offensive,First-Person
Counter-Strike: Global Offensive,PvP
Counter-Strike: Global Offensive,Online Co-Op
Counter-Strike: Global Offensive,Co-op
Counter-Strike: Global Offensive,Strategy
Counter-Strike: Global Offensive,Military
Counter-Strike: Global Offensive,War
Counter-Strike: Global Offensive,Difficult
Counter-Strike: Global Offensive,Trading
Counter-Strike: Global Offensive,Realistic
Counter-Strike: Global Offensive,Fast-Paced
Counter-Strike: Global Offensive,Moddable
PUBG: BATTLEGROUNDS,Survival
PUBG: BATTLEGROUNDS,Shooter
PUBG: BATTLEGROUNDS,Multiplayer
PUBG: BATTLEGROUNDS,Battle Royale
PUBG: BATTLEGROUNDS,FPS
PUBG: BATTLEGROUNDS,PvP
PUBG: BATTLEGROUNDS,Third-Person Shooter
PUBG: BATTLEGROUNDS,Action
PUBG: BATTLEGROUNDS,Online Co-Op
PUBG: BATTLEGROUNDS,Tactical
PUBG: BATTLEGROUNDS,Co-op
PUBG: BATTLEGROUNDS,First-Person
PUBG: BATTLEGROUNDS,Strategy
PUBG: BATTLEGROUNDS,Early Access
PUBG: BATTLEGROUNDS,Competitive
PUBG: BATTLEGROUNDS,Third Person
PUBG: BATTLEGROUNDS,Team-Based
PUBG: BATTLEGROUNDS,Difficult
PUBG: BATTLEGROUNDS,Simulation
PUBG: BATTLEGROUNDS,Stealth
Valheim,Open World Survival Craft
Valheim,Survival
Valheim,Online Co-Op
Valheim,Open World
Valheim,Multiplayer
Valheim,Building
Valheim,Crafting
Valheim,Exploration
Valheim,Base Building
Valheim,Co-op
Valheim,Sandbox
Valheim,Adventure
Valheim,Mythology
Valheim,RPG
Valheim,Early Access
Valheim,Action
Valheim,Indie
Valheim,PvP
Valheim,Singleplayer
Valheim,Third Person
New World,Massively Multiplayer
New World,Open World
New World,MMORPG
New World,RPG
New World,Adventure
New World,Action
New World,PvP
New World,PvE
New World,Multiplayer
New World,Walking Simulator
New World,Fantasy
New World,Character Customization
New World,Crafting
New World,Third Person
New World,Co-op
New World,Open World Survival Craft
New World,Sandbox
New World,Violent
New World,Sexual Content
New World,Singleplayer
Cyberpunk 2077,Cyberpunk
Cyberpunk 2077,Open World
Cyberpunk 2077,RPG
Cyberpunk 2077,Nudity
Cyberpunk 2077,Singleplayer
Cyberpunk 2077,Sci-fi
Cyberpunk 2077,Futuristic
Cyberpunk 2077,FPS
Cyberpunk 2077,First-Person
Cyberpunk 2077,Story Rich
Cyberpunk 2077,Mature
Cyberpunk 2077,Atmospheric
Cyberpunk 2077,Exploration
Cyberpunk 2077,Action
Cyberpunk 2077,Violent
Cyberpunk 2077,Great Soundtrack
Cyberpunk 2077,Action RPG
Cyberpunk 2077,Adventure
Cyberpunk 2077,Character Customization
Cyberpunk 2077,Immersive Sim
Apex Legends,Free to Play
Apex Legends,Multiplayer
Apex Legends,Battle Royale
Apex Legends,Shooter
Apex Legends,First-Person
Apex Legends,FPS
Apex Legends,PvP
Apex Legends,Action
Apex Legends,Hero Shooter
Apex Legends,Team-Based
Apex Legends,Tactical
Apex Legends,Character Customization
Apex Legends,Survival
Apex Legends,Sci-fi
Apex Legends,Loot
Apex Legends,Funny
Apex Legends,Lore-Rich
Apex Legends,Co-op
Apex Legends,Cyberpunk
Apex Legends,Cinematic
ELDEN RING,Souls-like
ELDEN RING,Dark Fantasy
ELDEN RING,RPG
ELDEN RING,Difficult
ELDEN RING,Open World
ELDEN RING,Action RPG
ELDEN RING,Third Person
ELDEN RING,Fantasy
ELDEN RING,Multiplayer
ELDEN RING,Singleplayer
ELDEN RING,Online Co-Op
ELDEN RING,Action
ELDEN RING,PvP
ELDEN RING,Co-op
ELDEN RING,Violent
ELDEN RING,Atmospheric
ELDEN RING,Great Soundtrack
ELDEN RING,3D
ELDEN RING,Character Customization
ELDEN RING,Family Friendly
Goose Goose Duck,Free to Play
Goose Goose Duck,Multiplayer
Goose Goose Duck,PvP
Goose Goose Duck,Social Deduction
Goose Goose Duck,Character Customization
Goose Goose Duck,Strategy
Goose Goose Duck,Cute
Goose Goose Duck,2D
Goose Goose Duck,Conversation
Goose Goose Duck,Casual
Goose Goose Duck,Cartoon
Goose Goose Duck,Massively Multiplayer
Goose Goose Duck,Indie
Goose Goose Duck,Funny
Goose Goose Duck,Online Co-Op
Goose Goose Duck,Co-op
